IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
168.138.198.202,2095,2095,FALSE,JP,Asia Pacific,Tokyo,87,11.74
141.147.61.116,8443,443,TRUE,DE,Europe,DEnkfurt,175,11.74
168.138.211.217,2086,2086,FALSE,JP,Asia Pacific,Tokyo,81,11.73
131.186.63.35,80,80,FALSE,JP,Asia Pacific,Tokyo,77,11.73
158.101.68.48,2052,2052,FALSE,JP,Asia Pacific,Tokyo,71,11.73
158.101.159.212,8443,8443,TRUE,JP,Asia Pacific,Tokyo,91,11.73
89.168.81.77,443,443,TRUE,NL,Europe,NLterdam,190,11.73
158.101.149.81,2087,2087,TRUE,JP,Asia Pacific,Tokyo,114,11.72
158.101.145.246,2086,2086,FALSE,JP,Asia Pacific,Tokyo,84,11.72
158.179.178.142,80,80,FALSE,JP,Asia Pacific,Tokyo,87,11.72
138.3.212.162,8443,8443,TRUE,JP,Asia Pacific,Tokyo,155,11.72
158.179.178.145,2095,2095,FALSE,JP,Asia Pacific,Tokyo,70,11.72
132.145.121.123,2095,2095,FALSE,JP,Asia Pacific,Tokyo,78,11.72
140.238.54.166,8443,8443,TRUE,JP,Asia Pacific,Tokyo,141,11.72
168.138.212.184,2052,2052,FALSE,JP,Asia Pacific,Tokyo,83,11.71
131.186.47.223,2052,2052,FALSE,JP,Asia Pacific,Tokyo,84,11.71
158.101.158.238,2052,2052,FALSE,JP,Asia Pacific,Tokyo,77,11.71
158.179.181.107,2052,2052,FALSE,JP,Asia Pacific,Tokyo,71,11.71
143.47.176.218,443,443,TRUE,DE,Europe,DEnkfurt,207,11.7
152.70.111.251,8080,8080,FALSE,JP,Asia Pacific,Tokyo,90,11.7
140.238.33.165,2086,2086,FALSE,JP,Asia Pacific,Tokyo,77,11.69
151.145.71.40,8443,8443,TRUE,JP,Asia Pacific,Tokyo,81,11.69
158.101.139.42,2082,2082,FALSE,JP,Asia Pacific,Tokyo,77,11.69
158.101.136.239,2083,2083,TRUE,JP,Asia Pacific,Tokyo,107,11.69
158.101.131.218,2086,2086,FALSE,JP,Asia Pacific,Tokyo,80,11.68
130.162.254.199,443,443,TRUE,DE,Europe,DEnkfurt,179,11.68
140.238.40.136,8080,8080,FALSE,JP,Asia Pacific,Tokyo,79,11.68
131.186.43.207,80,80,FALSE,JP,Asia Pacific,Tokyo,84,11.68
140.238.52.141,8880,8880,FALSE,JP,Asia Pacific,Tokyo,83,11.68
140.238.41.167,2082,2082,FALSE,JP,Asia Pacific,Tokyo,70,11.68
140.238.60.71,2082,2082,FALSE,JP,Asia Pacific,Tokyo,70,11.67
141.147.160.221,2053,2053,TRUE,JP,Asia Pacific,Tokyo,96,11.67
140.238.61.224,2052,2052,FALSE,JP,Asia Pacific,Tokyo,86,11.67
151.145.69.174,2083,2083,TRUE,JP,Asia Pacific,Tokyo,187,11.66
138.3.210.114,2053,2053,TRUE,JP,Asia Pacific,Tokyo,144,11.66
140.238.35.78,2052,2052,FALSE,JP,Asia Pacific,Tokyo,78,11.66
168.138.202.145,2086,2086,FALSE,JP,Asia Pacific,Tokyo,78,11.66
141.147.166.95,8080,8080,FALSE,JP,Asia Pacific,Tokyo,78,11.66
158.101.154.70,2053,2053,TRUE,JP,Asia Pacific,Tokyo,104,11.65
168.138.205.195,8880,8880,FALSE,JP,Asia Pacific,Tokyo,76,11.64
151.145.65.8,2087,2087,TRUE,JP,Asia Pacific,Tokyo,94,11.64
141.147.183.96,2087,2087,TRUE,JP,Asia Pacific,Tokyo,156,11.64
168.138.207.64,8080,8080,FALSE,JP,Asia Pacific,Tokyo,77,11.64
168.138.206.109,80,80,FALSE,JP,Asia Pacific,Tokyo,277,11.64
138.3.210.114,2095,2095,FALSE,JP,Asia Pacific,Tokyo,90,11.63
158.101.159.181,80,80,FALSE,JP,Asia Pacific,Tokyo,76,11.63
168.138.215.188,80,80,FALSE,JP,Asia Pacific,Tokyo,83,11.63
